date,value,source,units,fetched_at
2011-Q1,12820141.1,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2011-Q2,14300000.5,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2011-Q3,14947845.7,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2011-Q4,16479743.5,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2012-Q1,13857463.9,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2012-Q2,15395179.2,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2012-Q3,16075237.3,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2012-Q4,17820417.2,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2013-Q1,14953459.0,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2013-Q2,16562208.8,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2013-Q3,17352390.8,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2013-Q4,19192181.2,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2014-Q1,16086974.4,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2014-Q2,17830406.4,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2014-Q3,18615345.0,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2014-Q4,20605484.1,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2015-Q1,17221752.7,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2015-Q2,19089520.6,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2015-Q3,19909593.7,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2015-Q4,22023596.6,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2016-Q1,18390556.1,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2016-Q2,20423586.8,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2016-Q3,21404038.0,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2016-Q4,23326314.3,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2017-Q1,19674936.0,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2017-Q2,21843068.5,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2017-Q3,22872915.9,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2017-Q4,24910825.0,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2018-Q1,21042270.5,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2018-Q2,23353078.4,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2018-Q3,24400679.5,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2018-Q4,26540566.5,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2019-Q1,22388977.6,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2019-Q2,24769352.4,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2019-Q3,25856815.7,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2019-Q4,28105864.5,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2020-Q1,20874178.5,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2020-Q2,25549712.6,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2020-Q3,27128086.5,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2020-Q4,29934772.4,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2021-Q1,25156400.0,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2021-Q2,27351950.0,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2021-Q3,28505920.0,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2021-Q4,31341700.0,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2022-Q1,26376290.0,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2022-Q2,27570460.0,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2022-Q3,29633360.0,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2022-Q4,32296940.0,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2023-Q1,27628680.0,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2023-Q2,29371110.0,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2023-Q3,31128860.0,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2023-Q4,34024290.0,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2024-Q1,29079200.0,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2024-Q2,30736900.0,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2024-Q3,32547920.0,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2024-Q4,35846540.0,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2025-Q1,30657100.0,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2025-Q2,32345820.0,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2025-Q3,34121650.0,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
2025-Q4,37444450.0,oecd,"Quarterly GDP level, current prices, national currency",2026-04-08T19:20:24+00:00
